image,rel_path,integer_label,full_reading,full_digits,raw_text,digits_text,prediction,confidence,time_ms,has_decimal,background,n_digits,group,split,is_correct,error_class,decimal_prefix_match_len,matches_full_digits
00060.jpg,images/test/00060.jpg,01224,01224.54,0122454,01224,01224,01224,0.948458,86.332,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
00076.jpg,images/test/00076.jpg,00824,00824.8,008248,00824,00824,00824,0.64635,135.268,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
00081.jpg,images/test/00081.jpg,4538,4538.441,4538441,4538,4538,4538,0.872587,78.957,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00105.jpg,images/test/00105.jpg,5342,5342.519,5342519,5342,5342,5342,0.947528,53.09,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00116.jpg,images/test/00116.jpg,3438,3438.865,3438865,3438,3438,3438,0.921665,58.612,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00125.jpg,images/test/00125.jpg,4991,4991.090,4991090,4991,4991,4991,0.823633,45.238,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00138.jpg,images/test/00138.jpg,3321,3321,3321,332,332,332,0.940373,70.617,False,bgwhite,4,bgwhite_4d_nodec,test,False,ocr_error,0,False
00160.jpg,images/test/00160.jpg,2297,2297.607,2297607,2297,2297,2297,0.926546,73.365,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00201.jpg,images/test/00201.jpg,4921,4921.39,492139,4921,4921,4921,0.974391,69.295,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00205.jpg,images/test/00205.jpg,00337,00337.43,0033743,00337,00337,00337,0.896238,72.62,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
00233.jpg,images/test/00233.jpg,01826,01826,01826,01826,01826,01826,0.921795,83.504,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
00258.jpg,images/test/00258.jpg,01412,01412.63,0141263,01412,01412,01412,0.907847,69.802,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
00259.jpg,images/test/00259.jpg,12712,12712,12712,12712,12712,12712,0.924391,68.762,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
00265.jpg,images/test/00265.jpg,09349,09349,09349,09349,09349,09349,0.934338,68.818,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
00298.jpg,images/test/00298.jpg,5040,5040.343,5040343,5040,5040,5040,0.817239,75.409,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00305.jpg,images/test/00305.jpg,04675,04675,04675,0467,0467,0467,0.922511,72.215,False,bgwhite,5,bgwhite_5d_nodec,test,False,ocr_error,0,False
00326.jpg,images/test/00326.jpg,15925,15925,15925,15925,15925,15925,0.955023,77.992,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
00379.jpg,images/test/00379.jpg,00555,00555.36,0055536,00555,00555,00555,0.947234,75.334,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
00380.jpg,images/test/00380.jpg,00827,00827.68,0082768,00827,00827,00827,0.834971,87.658,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
00409.jpg,images/test/00409.jpg,00589,00589.889,00589889,00589,00589,00589,0.76014,76.748,True,bgblack,5,bgblack_5d_dec,test,True,correct,0,False
00425.jpg,images/test/00425.jpg,4315,4315.658,4315658,4315,4315,4315,0.97965,68.606,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00427.jpg,images/test/00427.jpg,1224,1224.902,1224902,1224,1224,1224,0.879776,71.451,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00437.jpg,images/test/00437.jpg,0156,0156.55,015655,0156,0156,0156,0.898829,53.77,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00444.jpg,images/test/00444.jpg,01368,01368.87,0136887,01368,01368,01368,0.960181,92.951,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
00500.jpg,images/test/00500.jpg,4858,4858.81,485881,4858,4858,4858,0.745261,83.531,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00504.jpg,images/test/00504.jpg,00071,00071.88,0007188,00071,00071,00071,0.650542,73.106,True,bgwhite,5,bgwhite_5d_dec,test,True,correct,0,False
00524.jpg,images/test/00524.jpg,1697,1697.468,1697468,1697,1697,1697,0.976653,69.526,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00525.jpg,images/test/00525.jpg,00005,00005.978,00005978,00005,00005,00005,0.682345,68.985,True,bgblack,5,bgblack_5d_dec,test,True,correct,0,False
00593.jpg,images/test/00593.jpg,01715,01715,01715,01715,01715,01715,0.968401,70.654,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
00612.jpg,images/test/00612.jpg,2216,2216.440,2216440,2216,2216,2216,0.9403,69.629,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00617.jpg,images/test/00617.jpg,3636,3636.977,3636977,3636,3636,3636,0.890371,71.435,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00625.jpg,images/test/00625.jpg,6522,6522.450,6522450,6522,6522,6522,0.937508,58.386,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00684.jpg,images/test/00684.jpg,2790,2790.871,2790871,2790,2790,2790,0.888976,80.551,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00686.jpg,images/test/00686.jpg,05201,05201,05201,05201,05201,05201,0.956035,55.492,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
00702.jpg,images/test/00702.jpg,03383,03383,03383,03383,03383,03383,0.899334,57.568,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
00721.jpg,images/test/00721.jpg,01024,01024.329,01024329,01024,01024,01024,0.701077,56.656,True,bgblack,5,bgblack_5d_dec,test,True,correct,0,False
00722.jpg,images/test/00722.jpg,4103,4103.589,4103589,4103,4103,4103,0.782754,69.692,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00736.jpg,images/test/00736.jpg,12970,12970,12970,12970,12970,12970,0.96588,59.532,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
00737.jpg,images/test/00737.jpg,1411,1411.393,1411393,1411,1411,1411,0.831515,83.172,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00741.jpg,images/test/00741.jpg,3308,3308.292,3308292,3308,3308,3308,0.806617,60.71,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
00764.jpg,images/test/00764.jpg,01902,01902.947,01902947,01902,01902,01902,0.901252,69.426,True,bgblack,5,bgblack_5d_dec,test,True,correct,0,False
00799.jpg,images/test/00799.jpg,40110,40110,40110,40110,40110,40110,0.847938,58.618,False,bgwhite,5,bgwhite_5d_nodec,test,True,correct,0,True
00813.jpg,images/test/00813.jpg,0028,0028.61,002861,0028,0028,0028,0.913284,83.228,True,bgwhite,4,bgwhite_4d_dec,test,True,correct,0,False
